x(mm)	y(mm)	z(mm)	coef()
-41.6877	0	2.55769	2
-42.0484	0	0	0
-40.0625	1.92422e-015	0	0
-29.9375	2.86816e-015	0	0
-28.2301	0	1.07623	1
-29.9375	0	2.53992	2
-26.2278	0	1.02829	1
-27.8449	0	2.04563	2
-31	0	34.9038	34
-31	0	31.7141	31
-29.0099	0	32.024	32
-29.1846	0	35.0767	35
-31	-2.44921e-016	37.35	37
-27.8778	0	2.81847	2
-27.1459	0	3.68685	3
-28.8839	0	3.66742	3
-41.5761	0	31.7264	31
-39	0	33.9899	33
-41.4883	0	34.6145	34
-39	0	31.5053	31
-39	7.34764e-016	37.35	37
-28.4273	0	13.0904	13
-31	0	11.7029	11
-27.9988	0	10.6818	10
-31	0	13.8982	13
-15.1901	0	37.8453	37
-12.5	0	40	39
-15.7025	0	40	39
-2.88845	0	37.4589	37
0	0	40	39
-2.85095	0	40	39
-44.3537	0	37.7926	37
-47.0153	0	40	39
-47.0153	0	37.7047	37
-43.9257	0	35.148	35
-47.0153	0	35	35
-44.1706	0	32.7933	32
-41.7892	0	37.1386	37
-44.8846	0	2.17291	2
-45.4152	0	0	0
-44.0796	0	0	0
-43.9848	0	6.51394	6
-42.4554	0	4.87614	4
-41.701	0	7.89886	7
-40.0625	0	7.90867	7
-40.0625	9.29935e-016	10	10
-40.0625	0	2.62213	2
-39	0	12.2062	12
-39	7.34764e-016	10	10
-41.6997	0	11.4088	11
-39	0	14.417	14
-41.3631	0	14.5971	14
-27.8324	0	16.642	16
-31	0	17.0481	17
-20.7774	0	20.1074	20
-22.4765	0	18.8849	18
-20.3153	0	17.6736	17
-28.9182	0	28.8519	28
-31	0	29.3985	29
-31	0	25.9009	25
-28.5759	0	26.1962	26
-28.74	0	22.8931	22
-31	0	22.95	22
-31	0	19.999	19
-28.6777	0	19.9236	19
-26.4261	0	7.77333	7
-28.1175	0	9.10991	9
-28.0014	0	7.61571	7
-17.7099	0	23.1179	23
-17.3793	0	20.7215	20
-16.4449	0	21.622	21
-2.55358	0	31.0435	31
0	0	34.7538	34
-2.88533	0	34.6923	34
-32.3605	0	40	39
-32.7581	0	37.35	37
-44.0803	0	13.9628	13
-26.5504	0	9.52479	9
-43.421	0	8.48004	8
-47.0153	0	8.19521	8
-45.1478	0	11.2052	11
-47.0153	0	14.0971	14
-44.1268	0	17.0481	17
-44.1643	0	19.999	19
-47.0153	0	19.999	19
-44.1464	0	22.9631	22
-44.1643	0	25.9009	25
-47.0153	0	25.9009	25
-44.1465	0	28.8651	28
-40.0625	0	5.24426	5
-41.726	0	25.5506	25
-39	0	28.8519	28
-41.4327	0	28.8817	28
-41.1669	0	23.1168	23
-39	0	25.9009	25
-41.3701	0	20.1044	20
-39	0	22.95	22
-41.0927	0	17.4037	17
-39	0	19.999	19
-39	0	17.0481	17
-26.1195	0	2.56447	2
-6.52403	0	29.6144	29
-4.99706	0	28.7557	28
-5.36172	0	31.2394	31
-29.9375	0	7.62213	7
-2.64499	0	27.0828	27
-1.41377	0	26.1619	26
-0.982163	0	27.156	27
0	0	26.2	26
0	0	27.3167	27
-26.2607	0	34.9899	34
-26.4586	0	31.8028	31
-18.6862	0	20.0437	20
-20.021	0	22.2535	22
-23.2716	0	34.9478	34
-23.502	0	31.5396	31
-28.4442	0	36.9649	36
-26.704	0	38.3064	38
-25.7064	0	22.7009	22
-24.7071	0	19.107	19
-26.193	0	28.717	28
-26.1648	0	25.7335	25
-23.3953	0	28.6084	28
-23.5787	0	25.7075	25
-22.6838	0	21.4764	21
-20.4108	0	34.8345	34
-20.1677	0	32.157	32
-17.6057	0	34.7538	34
-17.5076	0	31.4478	31
-20.1834	0	28.4699	28
-19.5095	0	25.6322	25
-17.4436	0	27.8808	27
-14.6548	0	34.7538	34
-14.6548	0	31.8028	31
-11.7038	0	34.7538	34
-11.4538	0	31.7717	31
-9.01938	0	34.0236	34
-8.20092	0	31.8469	31
-10.6491	0	24.6561	24
-10.483	0	24.0159	24
-9.63115	0	24.3693	24
-25.9475	0	3.9236	3
-26.795	0	4.84753	4
-24.8556	0	8.39171	8
-25.1927	0	9.58931	9
-24.3307	0	9.80297	9
-24.9831	0	11.1462	11
-23.6404	0	12.7115	12
-23.5834	0	11.4775	11
-22.9834	0	12.6317	12
-23.6345	0	13.6713	13
-22.1173	0	14.0882	14
-27.8906	0	4.69517	4
-17.4449	0	19.5647	19
-16.9153	0	20.0233	20
-15.7967	0	22.4988	22
-15.0182	0	21.4794	21
-15.5293	0	26.6554	26
-16.7272	0	24.6269	24
-15.1453	0	24.529	24
-16.0955	0	20.6863	20
-8.13106	0	25.7562	25
-7.28987	0	25.1675	25
-7.03327	0	26.5326	26
-11.6805	0	24.2998	24
-9.73202	0	25.6958	25
-13.3664	0	22.5421	22
-12.3511	0	23.1127	23
-13.0761	0	23.9101	23
-25.6983	0	5.3036	5
-26.6114	0	6.32571	6
-25.3538	0	6.75071	6
-24.1918	0	12.4515	12
-25.1799	0	13.9971	13
-22.4659	0	15.683	15
-21.1525	0	15.4946	15
-23.5128	0	16.9714	16
-25.5896	0	16.3306	16
-23.6671	0	14.9465	14
-21.5315	0	16.8253	16
-19.4025	0	18.8718	18
-19.1527	0	17.9009	17
-18.1981	0	18.8681	18
-12.074	0	25.4558	25
-13.6878	0	26.1873	26
-4.27607	0	26.8244	26
-3.51133	0	28.5684	28
-8.78088	0	28.1783	28
-6.07709	0	27.7115	27
-4.02296	0	25.8899	25
-3.3419	0	25.9864	25
-47.0153	0	2.2	2
-46.591	0	1.17574	1
-14.7211	0	22.7139	22
-14.3649	0	21.9207	21
-5.66723	0	40	39
-5.7539	0	37.5159	37
-17.8048	0	40	39
-17.8418	0	37.5103	37
-10.6264	0	40	39
-11.7038	0	37.7047	37
-44.7991	0	40	39
-40.9749	0	40	39
-19.8168	0	17.165	17
-20.4386	0	16.4219	16
-26.1959	0	11.1569	11
-26.5462	0	12.6782	12
-5.80191	0	34.7538	34
0	0	31.2495	31
-8.21417	0	40	39
-8.3313	0	37.0958	37
-20.5567	0	40	39
-23.5076	0	40	39
-20.9782	0	37.8453	37
-23.5076	0	37.7047	37
-26.4586	0	40	39
-28.4976	0	40	39
-35.8791	0	37.35	37
-35.3114	0	40	39
-38.2624	0	40	39
-47.0153	0	31.8336	31
-28.561	0	6.52948	6
-27.6071	0	0	0
0	0	29.5896	29
-1.46603	0	28.9071	28
-26.4437	0	14.6679	14
-14.6548	0	28.8519	28
-11.645	0	28.0229	28
-27.953	0	5.69112	5
-8.62803	0	24.7415	24
-5.62867	0	25.5894	25
-29.9375	2.86816e-015	10	10
-29.9375	0	5.24426	5
-2.63007	0	26.0679	26
-23.9109	0	10.782	10
-47.0153	0	5.45953	5
-31	-2.44921e-016	10	10
0	0	37.5408	37
-47.0153	0	11.1462	11
-47.0153	0	17.0481	17
-47.0153	0	22.95	22
-47.0153	0	28.8519	28
-11.4331	0	23.5793	23
-26.25	0	0	0
